file_path,surah,ayah,samplerate_hz,bit_depth,channels,reciter_id,style,created_at,duration_s,sha1
ayahs_wav\sura_001\001_002.wav,1,2,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.398789+00:00,5.53,efa73b6beeaaf05aa91499eaeec2efe2772252bd
ayahs_wav\sura_002\002_001.wav,2,1,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.399789+00:00,7.6,546e1fa2b7866d0739940ae5bbcfa1c54b6b9404
ayahs_wav\sura_001\001_004.wav,1,4,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.398789+00:00,4.6,bf371a67713c86ec6091874af74ac5a1da32a23e
ayahs_wav\sura_001\001_003.wav,1,3,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.398789+00:00,4.57,e2307c8a4f7daea765fc1a2e0a9ea27e0fbabe38
ayahs_wav\sura_002\002_003.wav,2,3,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.400788+00:00,11.37,9d25c5f4c07ef7cae44cf4bc108768eaeee315b3
ayahs_wav\sura_001\001_006.wav,1,6,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.399789+00:00,5.54,98e729cc7bb6d7744414a2f268097ed9c3fc308b
ayahs_wav\sura_002\002_006.wav,2,6,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.401786+00:00,12.57,ada67b1439fe16536815c9a9853cf9ef1e7f45ae
ayahs_wav\sura_002\002_004.wav,2,4,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.400788+00:00,15.77,28085968e36b9093d46b36818d3917797d045eab
ayahs_wav\sura_002\002_009.wav,2,9,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.403788+00:00,12.53,f9b43b535f18baf48592dd795f1fd2f08d91a280
ayahs_wav\sura_002\002_002.wav,2,2,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.400788+00:00,8.93,0c0e75e4ef25e2faa3ff1aed9811229818926903
ayahs_wav\sura_002\002_005.wav,2,5,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.401786+00:00,11.32,9fc8549fca458f68b8899cc1282243e4233dda58
ayahs_wav\sura_002\002_010.wav,2,10,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.403788+00:00,13.54,f5b4b37708bc8c7c4053af528d9db21e632f9117
ayahs_wav\sura_001\001_007.wav,1,7,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.399789+00:00,13.19,8dde6f9ba72fd635e7bbe21828836693baf2f5e7
ayahs_wav\sura_002\002_007.wav,2,7,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.402788+00:00,13.26,72f583c6ed391a36db50f09c0e5dd4d378a5f388
ayahs_wav\sura_001\001_005.wav,1,5,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.398789+00:00,6.65,0b78421b228a9cb8c87116eeeff5f7a3e9f49962
ayahs_wav\sura_001\001_001.wav,1,1,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.397787+00:00,6.03,e1df81566bf938c72336adac5a3c7716c2ce7780
ayahs_wav\sura_002\002_018.wav,2,18,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.407788+00:00,7.76,ff4fa96d6e26a06a9b2b9f9cceeb099585f0dec5
ayahs_wav\sura_002\002_008.wav,2,8,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.402788+00:00,12.0,b144248fc41db30289694507d545ca178f6cce69
ayahs_wav\sura_002\002_011.wav,2,11,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.404788+00:00,10.62,b34a62bdf2fee761ffc67f1c35f4735e8f308ba6
ayahs_wav\sura_002\002_015.wav,2,15,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.406788+00:00,7.89,185832f459824b04dd2d4df4aeb1c31eda031d1e
ayahs_wav\sura_002\002_014.wav,2,14,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.405788+00:00,23.71,7a4e22208feca2662ad9e1de3bf79df98eb2856e
ayahs_wav\sura_002\002_012.wav,2,12,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.404788+00:00,9.09,a7f5d777cfb860c38e16f39effcddcd7bc6f5b59
ayahs_wav\sura_002\002_016.wav,2,16,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.406788+00:00,12.52,3041a4bba0edbacbed7b8a280b5f21cf92f0784a
ayahs_wav\sura_002\002_024.wav,2,24,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.411788+00:00,14.81,4d68a66f50d6ed13b286ac544eb0c0918a433566
ayahs_wav\sura_002\002_021.wav,2,21,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.409788+00:00,13.46,903ce1a3d52acd60ce7eea277e8dbab2ecd3a678
ayahs_wav\sura_002\002_019.wav,2,19,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.408788+00:00,25.42,4fe552700c84266deb24bc77262a60ed63419fab
ayahs_wav\sura_002\002_023.wav,2,23,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.411788+00:00,23.78,5785927a93e716c5eb8adcf2afd52cd8366f73ed
ayahs_wav\sura_002\002_022.wav,2,22,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.410788+00:00,31.01,a0e8f70bc5d84fddf1b3e23f899058af6b096370
ayahs_wav\sura_002\002_031.wav,2,31,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.417788+00:00,27.16,55d4b3749260953ed7622e999148c78246a55211
ayahs_wav\sura_002\002_013.wav,2,13,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.405788+00:00,24.91,1b64129651cb8148d3ccc2ad0eb3aecf662d3b98
ayahs_wav\sura_002\002_028.wav,2,28,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.415789+00:00,17.92,2eb0876e6e9326e3acbe546079003bd9b2861648
ayahs_wav\sura_002\002_017.wav,2,17,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.407788+00:00,21.71,48e99fab54b2128e453005613fe61692a0da8a40
ayahs_wav\sura_002\002_034.wav,2,34,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.419788+00:00,16.77,150216eff485878bddaccac80f4d3beb3f18c09c
ayahs_wav\sura_002\002_027.wav,2,27,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.415789+00:00,23.43,d05768f07354379548e2894935bd6749b7a1e64a
ayahs_wav\sura_002\002_020.wav,2,20,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.409788+00:00,30.4,1147081e6d2b781dc66ddfed0e282002e9ec32e1
ayahs_wav\sura_002\002_036.wav,2,36,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.420787+00:00,21.23,8978f825410629709b6d7861cd1ef2fd8752af6c
ayahs_wav\sura_002\002_032.wav,2,32,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.418787+00:00,14.12,0046bb253d366669a1ffbde3c8c174ef56082612
ayahs_wav\sura_002\002_037.wav,2,37,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.421788+00:00,15.59,0218ba8e9b3fbeff09faf732f29e17c59f9e0d2d
ayahs_wav\sura_002\002_029.wav,2,29,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.416788+00:00,21.64,0a59e2f2b1db9bd63db9f96440116351778a799c
ayahs_wav\sura_002\002_043.wav,2,43,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.424786+00:00,7.92,01f5bf28415146b1c1ad517c4d474d727cc99882
ayahs_wav\sura_002\002_044.wav,2,44,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.425788+00:00,16.29,145f4ef2f33aa80106cbd7ffadae71b62e6ea601
ayahs_wav\sura_002\002_033.wav,2,33,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.419788+00:00,35.05,002e8dbfeddfbcebb0a3e4b62a9991cfb6f7cf57
ayahs_wav\sura_002\002_025.wav,2,25,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.412788+00:00,38.29,a215aa786e53e82fb7096a898d97fd7fff97302a
ayahs_wav\sura_002\002_039.wav,2,39,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.422788+00:00,17.54,52970e8fa519cc18c35c5fa89d9858df3d11bf15
ayahs_wav\sura_002\002_030.wav,2,30,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.417788+00:00,30.49,7ab046777a231b94a6345ae8c6756c691eb8a6ac
ayahs_wav\sura_002\002_035.wav,2,35,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.420787+00:00,20.49,20b52915c0ab96260e5bd30f071d9b1517e856d4
ayahs_wav\sura_002\002_046.wav,2,46,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.426788+00:00,12.76,0566eb8773d01c0b7524dfe61bd9eb7f22c4b49b
ayahs_wav\sura_002\002_038.wav,2,38,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.422788+00:00,18.05,4cffc1f823d3a08e898507e2fa80454e2657a4cb
