file_path,surah,samplerate_hz,bit_depth,channels,reciter_id,style,created_at,duration_s,sha1
surahs_wav\001.wav,1,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.397787+00:00,56.62,37fa364e05ed4a0188ab0b284e658ae710eab083
surahs_wav\002.wav,2,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.399789+00:00,7678.21,b97dc25c3ed8271f929abdfa15dc77da10faff2f
surahs_wav\003.wav,3,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.622663+00:00,5081.3,552f06cef2642c1d192c2629edb4d10b03fa78e2
surahs_wav\004.wav,4,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.750304+00:00,5023.89,9032323d50360339422146161906e66a95c6aa81
surahs_wav\005.wav,5,16000,16,1,qari_main,Hafs,2025-09-02T16:01:43.880840+00:00,3930.91,ed1545fac4f1521c4b794497253f4ce794dd4a8a
surahs_wav\006.wav,6,16000,16,1,qari_main,Hafs,2025-09-02T16:01:44.010845+00:00,4576.59,289058da94fd3f03af81865cc2e15dbadc0c10d2
surahs_wav\007.wav,7,16000,16,1,qari_main,Hafs,2025-09-02T16:01:44.121930+00:00,5091.2,eb036db4bbe3289643a8082935501a2b54ac599f
surahs_wav\008.wav,8,16000,16,1,qari_main,Hafs,2025-09-02T16:01:44.244965+00:00,1929.64,dce97068ad6f7ebda7590860538b4d848005d5c0
surahs_wav\009.wav,9,16000,16,1,qari_main,Hafs,2025-09-02T16:01:44.290994+00:00,3811.39,91612a9057d85f72811853ef4d25242cf1dec361
surahs_wav\010.wav,10,16000,16,1,qari_main,Hafs,2025-09-02T16:01:44.378997+00:00,2846.71,bf6b1be8b9e86b56fabec205ee98f2c15ab41087
surahs_wav\011.wav,11,16000,16,1,qari_main,Hafs,2025-09-02T16:01:44.447997+00:00,2948.92,ef5e3176950c435fc5393439d4503010b0d69328
surahs_wav\012.wav,12,16000,16,1,qari_main,Hafs,2025-09-02T16:01:44.520998+00:00,2676.63,ce709ce01771b02b3e7c44350a71a0ceed177299
surahs_wav\013.wav,13,16000,16,1,qari_main,Hafs,2025-09-02T16:01:44.590603+00:00,1275.09,1196234d9112ba823ab33595886dca67de68d8a6
surahs_wav\014.wav,14,16000,16,1,qari_main,Hafs,2025-09-02T16:01:44.620876+00:00,1291.84,6e989b80230fc1e4af9c6f13a4f339110697394d
