unit_id,surah_id,ayah_id,word_id,unit_type,text_ar,text_clean,text_translit,ref_audio_relpath,expected_duration_sec,min_duration_sec,max_duration_sec,good_threshold,intermediate_threshold,max_good_duration_factor,difficulty,active,notes
112_001_001,112,1,1,word,قُلۡ,قل,qul,wav/words_wav/sura_112/ayah_001/112_001_001.wav,0.731,0.366,2.194,0.8443,0.7,3,1,1,audio_available
112_001_002,112,1,2,word,هُوَ,هو,huwa,wav/words_wav/sura_112/ayah_001/112_001_002.wav,0.627,0.313,1.881,0.8447,0.7,3,1,1,audio_available
112_001_003,112,1,3,word,ٱللَّهُ,ٱلله,al-lahu,wav/words_wav/sura_112/ayah_001/112_001_003.wav,1.254,0.627,3.762,0.7552,0.7,3,1,1,audio_available
112_001_004,112,1,4,word,أَحَدٌ,أحد,ahadun,wav/words_wav/sura_112/ayah_001/112_001_004.wav,0.94,0.47,2.821,0.8025,0.7,3,1,1,audio_available
112_002_001,112,2,1,word,ٱللَّهُ,ٱلله,al-lahu,wav/words_wav/sura_112/ayah_002/112_002_001.wav,1.332,0.666,3.997,0.7552,0.7,3,1,1,audio_available
112_002_002,112,2,2,word,ٱلصَّمَدُ,ٱلصمد,al-samadu,wav/words_wav/sura_112/ayah_002/112_002_002.wav,1.149,0.575,3.448,0.6752,0.7,3,1,1,audio_available
112_003_001,112,3,1,word,لَمۡ,لم,lam,wav/words_wav/sura_112/ayah_003/112_003_001.wav,0.784,0.392,2.351,0.8309,0.7,3,1,1,audio_available
112_003_002,112,3,2,word,يَلِدۡ,يلد,yalid,wav/words_wav/sura_112/ayah_003/112_003_002.wav,0.967,0.483,2.9,0.7416,0.7,3,1,1,audio_available
112_003_003,112,3,3,word,وَلَمۡ,ولم,walam,wav/words_wav/sura_112/ayah_003/112_003_003.wav,1.071,0.536,3.213,0.7727,0.7,3,1,1,audio_available
112_003_004,112,3,4,word,يُولَدۡ,يولد,yulad,wav/words_wav/sura_112/ayah_003/112_003_004.wav,1.071,0.536,3.213,0.7955,0.7,3,1,1,audio_available
112_004_001,112,4,1,word,وَلَمۡ,ولم,walam,wav/words_wav/sura_112/ayah_004/112_004_001.wav,0.836,0.418,2.508,0.7727,0.7,3,1,1,audio_available
112_004_002,112,4,2,word,يَكُن,يكن,yakun,wav/words_wav/sura_112/ayah_004/112_004_002.wav,0.94,0.47,2.821,0.7673,0.7,3,1,1,audio_available
112_004_003,112,4,3,word,لَّهُۥ,له,lahu,wav/words_wav/sura_112/ayah_004/112_004_003.wav,1.045,0.522,3.135,0.7293,0.7,3,1,1,audio_available
112_004_004,112,4,4,word,كُفُوًا,كفوا,kufuwan,wav/words_wav/sura_112/ayah_004/112_004_004.wav,1.176,0.588,3.527,0.7249,0.7,3,1,1,audio_available
112_004_005,112,4,5,word,أَحَدُۢ,أحد,ahadun,wav/words_wav/sura_112/ayah_004/112_004_005.wav,0.967,0.483,2.9,0.8025,0.7,3,1,1,audio_available
113_001_001,113,1,1,word,قُلۡ,قل,qul,wav/words_wav/sura_113/ayah_001/113_001_001.wav,0.679,0.34,2.038,0.8443,0.7,3,1,1,audio_available
113_001_002,113,1,2,word,أَعُوذُ,أعوذ,a'udhu,wav/words_wav/sura_113/ayah_001/113_001_002.wav,1.019,0.509,3.056,0.7332,0.7,3,1,1,audio_available
113_001_003,113,1,3,word,بِرَبِّ,برب,birabbi,wav/words_wav/sura_113/ayah_001/113_001_003.wav,1.176,0.588,3.527,0.7292,0.7,3,1,1,audio_available
113_001_004,113,1,4,word,ٱلۡفَلَقِ,ٱلفلق,al-falaqi,wav/words_wav/sura_113/ayah_001/113_001_004.wav,1.358,0.679,4,0.6729,0.7,3,1,1,audio_available
113_002_001,113,2,1,word,مِن,من,min,wav/words_wav/sura_113/ayah_002/113_002_001.wav,0.679,0.34,2.038,0.8131,0.7,3,1,1,audio_available
113_002_002,113,2,2,word,شَرِّ,شر,sharri,wav/words_wav/sura_113/ayah_002/113_002_002.wav,0.914,0.457,2.743,0.6865,0.7,3,1,1,audio_available
113_002_003,113,2,3,word,مَا,ما,ma,wav/words_wav/sura_113/ayah_002/113_002_003.wav,0.758,0.379,2.273,0.8096,0.7,3,1,1,audio_available
113_002_004,113,2,4,word,خَلَقَ,خلق,khalaqa,wav/words_wav/sura_113/ayah_002/113_002_004.wav,0.94,0.47,2.821,0.7749,0.7,3,1,1,audio_available
113_003_001,113,3,1,word,وَمِن,ومن,wamin,wav/words_wav/sura_113/ayah_003/113_003_001.wav,0.94,0.47,2.821,0.8056,0.7,3,1,1,audio_available
113_003_002,113,3,2,word,شَرِّ,شر,sharri,wav/words_wav/sura_113/ayah_003/113_003_002.wav,1.019,0.509,3.056,0.6865,0.7,3,1,1,audio_available
